u,g,r,i,z,specClass,redshift,zerr
19.517735,19.320663,19.052397,19.012184,19.08675,3,1.27159,2.15678E-3
17.779491,16.002851,15.159408,14.756618,14.427699,2,0.035765,1.779E-4
18.353865,17.354124,16.961952,16.612961,16.489582,2,0.075235,7.57365E-5
18.822344,17.319305,16.588701,16.242882,16.12772,2,0.078164,9.2497E-5
19.608549,18.373663,17.834284,17.659344,17.536499,1,-9.72335E-5,7.17808E-5
18.633263,17.570929,17.189693,17.036724,16.986958,1,-5.24549E-5,7.09038E-5
18.599646,17.616488,17.199921,17.004248,16.896885,1,-1.84748E-4,7.01665E-5
17.506784,16.810316,16.248543,15.811894,15.577502,2,0.102782,9.08439E-4
19.587492,18.255154,17.791405,17.475365,17.285961,2,0.099224,5.42184E-5
18.704338,16.747948,15.779137,15.327349,14.986447,2,0.079284,1.90072E-4
18.760878,17.294136,16.473478,15.994444,15.623453,2,0.09472,1.00813E-4
19.360136,17.91264,16.882957,16.391796,16.083807,2,0.171308,1.36879E-4
19.528706,18.139538,17.226788,16.794327,16.433344,2,0.131457,1.64593E-4
18.13361,17.954969,17.820564,17.907532,17.770096,3,0.929892,2.52966E-3
18.313238,17.173906,16.628332,16.311913,16.155649,2,0.056075,1.84695E-4
17.083508,15.582094,14.86124,14.460981,14.149632,2,0.029632,1.01769E-4
19.424618,18.026226,17.221918,16.76827,16.48229,2,0.135016,1.01105E-4
18.427591,17.233501,16.801735,16.643343,16.58527,1,-1.52351E-4,7.50988E-5
18.72023,17.659716,17.193796,16.81992,16.648037,2,0.087306,5.59347E-5
19.198668,18.878931,18.77137,18.619297,18.670835,3,0.652045,1.04171E-3
18.77198,17.724905,17.332581,17.103849,17.05147,2,0.045912,7.12558E-5
18.534781,16.576288,15.6362,15.186011,14.803905,2,0.042049,1.75074E-4
19.408714,18.075199,17.340353,16.946995,16.6814,2,0.087363,1.68274E-4
19.308802,18.082867,17.504606,17.144428,16.962103,2,0.099542,8.32557E-5
19.023525,17.797825,17.17631,16.834215,16.696686,2,0.083386,1.87027E-4
19.015266,17.280674,16.425964,15.984512,15.688208,2,0.079926,1.55451E-4
19.439142,19.348228,18.90255,18.844694,18.93342,3,1.27154,1.95884E-3
19.169376,18.116993,17.584183,17.257261,17.087023,2,0.074226,7.72389E-5
19.20886,17.855936,16.896484,16.414858,16.092022,2,0.168507,1.31458E-4
19.304056,17.642813,16.751495,16.331356,16.048199,2,0.119639,1.42824E-4
20.198542,19.788305,19.120874,18.638607,18.498251,3,0.204737,8.59514E-4
20.377134,19.189785,18.759613,18.587461,18.471188,1,2.97046E-4,8.60515E-5
19.570232,18.223419,17.442081,17.038898,16.774109,2,0.115771,1.46916E-4
21.983461,21.221039,20.674725,19.996431,19.960508,3,1.762,4.54713E-4
19.463493,18.290541,17.361971,16.881762,16.601103,2,0.189832,1.1499E-4
18.949516,17.441618,16.914057,16.69311,16.629374,1,8.32609E-5,6.38985E-5
19.449148,18.741211,18.261642,17.915741,17.888708,2,0.174755,4.3199E-5
19.172644,18.984325,18.723362,18.838236,18.811451,3,1.01656,1.64311E-3
20.271492,19.10461,18.850634,18.724123,18.879738,3,3.06988,1.01675E-3
19.574354,18.061085,17.338177,16.87336,16.542343,2,0.065243,8.18689E-5
18.949453,18.826227,18.792919,18.508396,18.388599,3,1.8249,2.93869E-3
19.597929,17.892601,17.1113,16.740229,16.435591,2,0.042652,1.65911E-4
18.967134,18.364676,18.252111,18.167711,17.933977,3,0.810559,1.10843E-3
19.328098,18.059061,17.608517,17.351042,17.290043,2,0.046449,1.1356E-4
18.950771,17.460745,16.643072,16.19249,15.968242,2,0.180483,1.63354E-4
